.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
1,397:38606,397:38606,2:3,3:4,7:16,7:16,3:8,3:8,1241:392472,1241:392472,5:12,5:12,9:30,9:30,5:18,5:18,9:30,9:30,5:24,5:24,47:576,47:576,5:24,5:24,7:32,7:32,47:576,47:576,47:528,47:528,47:528,47:528,1241:392472,1241:392472,47:528,47:528,1241:392472,1241:392472,1241:392472,1241:392472,7:48,7:48,1241:392472,1241:392472,1241:392472,1241:392472,1241:392472,1241:392472,1241:392472,1241:392472,397:38606,397:38606,1241:392472,1241:392472,1241:392472,1241:392472,47:624,47:624,1241:392472,1241:392472,47:624,47:624,47:624,47:624,47:624,47:624,47:624,47:624,23:192,23:192,47:624,47:624,47:624,47:624,47:576,47:576,47:624,47:624,47:624,47:624,47:624,47:624,47:624,47:624,47:624,47:624,47:624,47:624,47:672,47:672,47:672,47:672,1241:392472,1241:392472,47:672,47:672,1241:392472,1241:392472,1241:392472,1241:392472,1241:392472,1241:392472,397:38606,397:38606,13:126,13:126,397:38606,397:38606,397:38606,397:38606,47:624,47:624,13:140,13:140,13:140,13:140,13:154,13:154,13:140,13:140,47:672,47:672,13:154,13:154,13:168,13:168,13:168,13:168,397:38606,397:38606,13:168,13:168,397:38606,397:38606,519:68640,519:68640,397:38606,397:38606,23:264,23:264,519:68640,519:68640,23:264,23:264,23:264,23:264,519:68640,519:68640,23:264,23:264,23:264,23:264,15:208,15:208,23:264,23:264,15:208,15:208,15:208,15:208,23:264,23:264,15:224,15:224,397:38606,397:38606,15:224,15:224,15:224,15:224,23:288,23:288,519:68640,519:68640,519:68640,519:68640,217:11990,217:11990,519:68640,519:68640,217:11990,217:11990,217:11990,217:11990,15:224,15:224,15:224,15:224,15:224,15:224,15:224,15:224,289:20880,289:20880,217:11990,217:11990,289:20880,289:20880,289:20880,289:20880
2,397:38606,397:38606,2:3,3:4,7:16,7:16,3:8,3:8,1241:392472,1241:392472,5:12,5:12,9:30,9:30,5:18,5:18,9:30,9:30,5:24,5:24,47:576,47:576,5:24,5:24,7:32,7:32,47:576,47:576,47:528,47:528,47:528,47:528,1241:392472,1241:392472,47:528,47:528,1241:392472,1241:392472,1241:392472,1241:392472,7:48,7:48,1241:392472,1241:392472,1241:392472,1241:392472,1241:392472,1241:392472,1241:392472,1241:392472,397:38606,397:38606,1241:392472,1241:392472,1241:392472,1241:392472,47:624,47:624,1241:392472,1241:392472,47:624,47:624,47:624,47:624,47:624,47:624,47:624,47:624,23:192,23:192,47:624,47:624,47:624,47:624,47:576,47:576,47:624,47:624,47:624,47:624,47:624,47:624,47:624,47:624,47:624,47:624,47:624,47:624,47:672,47:672,47:672,47:672,1241:392472,1241:392472,47:672,47:672,1241:392472,1241:392472,1241:392472,1241:392472,1241:392472,1241:392472,397:38606,397:38606,13:126,13:126,397:38606,397:38606,397:38606,397:38606,47:624,47:624,13:140,13:140,13:140,13:140,13:154,13:154,13:140,13:140,47:672,47:672,13:154,13:154,13:168,13:168,13:168,13:168,397:38606,397:38606,13:168,13:168,397:38606,397:38606,519:68640,519:68640,397:38606,397:38606,23:264,23:264,519:68640,519:68640,23:264,23:264,23:264,23:264,519:68640,519:68640,23:264,23:264,23:264,23:264,15:208,15:208,23:264,23:264,15:208,15:208,15:208,15:208,23:264,23:264,15:224,15:224,397:38606,397:38606,15:224,15:224,15:224,15:224,23:288,23:288,519:68640,519:68640,519:68640,519:68640,217:11990,217:11990,519:68640,519:68640,217:11990,217:11990,217:11990,217:11990,15:224,15:224,15:224,15:224,15:224,15:224,15:224,15:224,289:20880,289:20880,217:11990,217:11990,289:20880,289:20880,289:20880,289:20880
3,397:38606,397:38606,5:6,3:4,9:20,7:16,7:16,3:8,9:20,1241:392472,1241:392472,5:12,9:30,9:30,4:15,5:18,7:24,9:30,9:30,5:24,7:24,47:576,47:576,5:24,7:32,7:32,47:576,47:576,7:40,47:528,47:528,47:528,7:40,1241:392472,1241:392472,47:528,1241:392472,1241:392472,1241:392472,1241:392472,1241:392472,7:48,7:48,1241:392472,1241:392472,1241:392472,1241:392472,1241:392472,1241:392472,1241:392472,397:38606,397:38606,397:38606,1241:392472,1241:392472,1241:392472,397:38606,47:624,47:624,1241:392472,47:624,47:624,47:624,47:624,47:624,47:624,47:624,47:624,47:624,23:192,23:192,47:624,47:624,47:624,47:576,47:576,47:576,47:624,47:624,47:624,47:576,47:624,47:624,47:624,47:624,47:624,47:624,47:624,47:672,47:672,47:672,47:672,47:672,1241:392472,1241:392472,47:672,1241:392472,1241:392472,1241:392472,1241:392472,13:126,1241:392472,1241:392472,397:38606,13:126,13:126,13:126,397:38606,397:38606,397:38606,47:624,47:624,47:624,13:140,13:140,13:140,47:624,13:154,13:154,13:140,47:672,47:672,13:154,13:154,13:168,13:168,13:168,13:168,13:168,397:38606,397:38606,13:168,397:38606,397:38606,519:68640,519:68640,519:68640,397:38606,397:38606,23:264,519:68640,519:68640,519:68640,23:264,23:264,23:264,519:68640,519:68640,33:408,23:264,23:264,23:264,33:408,15:208,15:208,23:264,15:208,15:208,15:208,15:208,397:38606,23:264,23:264,15:224,397:38606,397:38606,397:38606,15:224,15:224,15:224,23:288,23:288,23:288,519:68640,519:68640,519:68640,23:288,217:11990,217:11990,519:68640,217:11990,217:11990,217:11990,217:11990,289:20880,15:224,15:224,15:224,289:20880,15:224,15:224,15:224,289:20880,289:20880,217:11990,217:11990,217:11990,289:20880,289:20880,289:20880
4,7:8,397:38606,5:6,397:38606,4:5,7:16,9:20,7:16,9:20,4:10,1241:392472,5:12,1241:392472,9:30,4:15,9:30,5:18,9:30,7:24,9:30,7:24,5:24,47:576,5:24,47:576,7:32,47:576,7:32,47:576,47:528,7:40,47:528,7:40,47:528,1241:392472,47:528,1241:392472,1241:392472,1241:392472,1241:392472,1241:392472,7:48,1241:392472,7:48,1241:392472,1241:392472,1241:392472,1241:392472,1241:392472,1241:392472,397:38606,1241:392472,397:38606,1241:392472,397:38606,1241:392472,397:38606,1241:392472,47:624,1241:392472,47:624,47:624,47:624,47:624,47:624,47:624,47:624,47:624,47:624,47:624,23:192,47:624,23:192,47:624,47:576,47:624,47:576,47:624,47:576,47:624,47:576,47:624,47:624,47:624,47:624,47:624,47:624,47:624,47:624,47:672,47:672,47:672,47:672,47:672,1241:392472,47:672,1241:392472,1241:392472,1241:392472,1241:392472,1241:392472,1241:392472,13:126,1241:392472,13:126,397:38606,13:126,397:38606,13:126,397:38606,47:624,397:38606,47:624,13:140,47:624,13:140,47:624,13:140,13:154,13:140,13:154,47:672,13:154,47:672,13:154,13:168,13:168,13:168,13:168,13:168,397:38606,13:168,397:38606,397:38606,519:68640,397:38606,519:68640,397:38606,519:68640,397:38606,519:68640,23:264,519:68640,23:264,519:68640,23:264,519:68640,23:264,519:68640,23:264,33:408,23:264,33:408,23:264,15:208,23:264,15:208,15:208,15:208,15:208,15:208,23:264,397:38606,23:264,397:38606,15:224,397:38606,15:224,397:38606,15:224,23:288,15:224,23:288,519:68640,23:288,519:68640,23:288,519:68640,217:11990,519:68640,217:11990,217:11990,217:11990,217:11990,217:11990,15:224,289:20880,15:224,289:20880,15:224,15:224,15:224,15:224,289:20880,217:11990,289:20880,217:11990,289:20880,217:11990,289:20880
5,15:48,7:8,397:38606,397:38606,397:38606,5:6,397:38606,7:16,9:20,9:20,397:38606,5:12,1241:392472,1241:392472,1241:392472,9:30,1241:392472,5:18,47:576,9:30,23:144,7:24,47:576,5:24,23:144,47:576,9:40,7:32,47:528,47:576,9:40,47:528,47:528,7:40,6:35,47:528,23:144,1241:392472,1241:392472,1241:392472,23:144,1241:392472,47:576,7:48,7:48,1241:392472,47:576,1241:392472,1241:392472,1241:392472,23:168,1241:392472,1241:392472,397:38606,23:168,1241:392472,23:192,397:38606,47:624,1241:392472,23:192,47:624,47:624,47:624,47:624,47:624,47:624,47:624,47:624,47:624,47:624,47:624,23:192,23:192,23:192,47:624,23:192,47:576,47:624,47:624,47:576,47:576,47:624,47:624,47:576,47:624,47:624,47:624,47:672,47:624,47:624,47:672,47:672,47:672,47:672,47:672,47:672,1241:392472,1241:392472,1241:392472,47:672,1241:392472,1241:392472,1241:392472,1241:392472,13:126,1241:392472,397:38606,397:38606,13:126,397:38606,397:38606,397:38606,47:624,397:38606,13:140,47:624,47:624,13:154,13:140,47:624,13:154,13:154,47:672,47:672,13:154,47:672,13:168,13:168,13:168,47:672,13:168,397:38606,397:38606,397:38606,397:38606,397:38606,519:68640,519:68640,397:38606,519:68640,519:68640,519:68640,23:264,519:68640,519:68640,33:408,23:264,23:264,519:68640,33:408,23:264,23:264,33:408,33:408,23:264,397:38606,15:208,15:208,15:208,397:38606,15:208,397:38606,23:264,23:264,397:38606,397:38606,15:224,519:68640,397:38606,23:288,15:224,519:68640,23:288,23:288,519:68640,23:288,23:288,217:11990,519:68640,23:288,217:11990,217:11990,217:11990,217:11990,217:11990,217:11990,15:224,289:20880,289:20880,217:11990,15:224,289:20880,15:224,15:224,289:20880,289:20880,217:11990,217:11990,289:20880
6,15:48,15:48,397:38606,7:8,397:38606,397:38606,6:7,397:38606,397:38606,9:20,7:16,397:38606,9:20,6:14,1241:392472,1241:392472,9:30,1241:392472,1241:392472,9:30,6:21,23:144,47:576,7:24,23:144,47:576,47:576,6:28,9:40,47:576,7:32,9:40,47:528,47:528,6:35,47:528,47:528,7:40,23:144,1241:392472,1241:392472,23:144,1241:392472,1241:392472,7:48,47:576,1241:392472,7:48,47:576,1241:392472,1241:392472,23:168,1241:392472,1241:392472,23:168,1241:392472,1241:392472,397:38606,23:192,1241:392472,397:38606,23:192,47:624,47:624,47:624,47:624,47:624,47:624,47:624,47:624,47:624,47:624,47:624,47:624,23:192,23:192,47:624,23:192,23:192,47:624,47:576,47:576,47:624,47:576,47:576,47:624,47:624,47:624,47:624,47:624,47:624,47:624,47:672,47:672,47:672,47:672,47:672,47:672,47:672,1241:392472,1241:392472,47:672,1241:392472,1241:392472,1241:392472,1241:392472,13:126,1241:392472,1241:392472,13:126,397:38606,397:38606,397:38606,397:38606,397:38606,397:38606,13:140,47:624,47:624,13:140,47:624,47:624,13:154,13:154,47:672,13:154,13:154,47:672,47:672,13:168,13:168,47:672,13:168,13:168,397:38606,397:38606,397:38606,397:38606,397:38606,397:38606,519:68640,519:68640,519:68640,519:68640,519:68640,519:68640,519:68640,23:264,33:408,519:68640,23:264,33:408,23:264,23:264,33:408,23:264,23:264,33:408,397:38606,15:208,15:208,397:38606,15:208,15:208,23:264,397:38606,397:38606,23:264,397:38606,397:38606,15:224,23:288,519:68640,15:224,23:288,519:68640,519:68640,23:288,23:288,519:68640,23:288,23:288,217:11990,217:11990,217:11990,217:11990,217:11990,217:11990,217:11990,289:20880,15:224,217:11990,289:20880,15:224,15:224,289:20880,289:20880,15:224,289:20880,289:20880
7,31:192,15:48,25:156,15:48,25:156,397:38606,23:120,7:8,23:120,397:38606,47:528,397:38606,47:528,9:20,397:38606,7:16,47:528,1241:392472,47:528,1241:392472,1241:392472,9:30,1241:392472,7:24,23:120,23:144,23:120,47:576,23:120,47:576,23:120,7:32,23:144,9:40,23:144,47:528,23:144,47:528,23:144,7:40,47:576,23:144,15:80,1241:392472,15:80,1241:392472,23:168,7:48,9:50,47:576,15:96,1241:392472,15:96,1241:392472,23:192,23:168,9:60,1241:392472,397:38606,1241:392472,397:38606,397:38606,8:63,23:192,9:70,47:624,397:38606,47:624,397:38606,47:624,397:38606,47:624,9:80,47:624,9:80,47:624,47:576,23:192,47:576,23:192,47:624,47:624,47:624,47:576,15:112,47:576,15:112,47:624,47:672,47:624,47:624,47:624,13:112,47:624,13:112,47:672,1241:392472,47:672,1241:392472,47:672,1241:392472,47:672,13:126,1241:392472,47:672,1241:392472,11:120,1241:392472,11:120,1241:392472,13:140,13:126,1241:392472,397:38606,1241:392472,397:38606,1241:392472,397:38606,1241:392472,13:140,1241:392472,47:624,397:38606,47:624,397:38606,13:154,397:38606,13:154,397:38606,47:672,397:38606,47:672,519:68640,13:168,519:68640,13:168,519:68640,397:38606,519:68640,397:38606,15:176,397:38606,15:176,519:68640,33:408,519:68640,397:38606,519:68640,15:192,519:68640,15:192,23:264,397:38606,33:408,397:38606,23:264,397:38606,23:264,23:264,33:408,23:264,397:38606,519:68640,15:208,519:68640,15:208,23:288,23:264,33:408,397:38606,33:442,397:38606,33:442,15:224,33:442,23:288,33:442,519:68640,33:442,519:68640,33:442,23:288,15:224,23:288,33:442,217:11990,33:442,217:11990,217:11990,217:11990,217:11990,217:11990,33:442,289:20880,33:442,15:224,289:20880,15:224,289:20880,289:20880
8,31:192,31:192,397:38606,15:48,9:10,25:156,23:120,15:48,8:9,25:156,23:120,397:38606,397:38606,9:20,47:528,397:38606,397:38606,8:18,47:528,47:528,1241:392472,1241:392472,9:30,47:528,1241:392472,1241:392472,8:27,47:576,23:120,23:120,23:144,47:576,23:120,23:120,23:144,8:36,47:528,23:144,23:144,9:40,47:528,23:144,23:144,15:80,8:45,1241:392472,47:576,15:80,9:50,1241:392472,47:576,23:168,15:96,8:54,1241:392472,23:168,15:96,9:60,1241:392472,1241:392472,23:192,397:38606,8:63,1241:392472,23:192,397:38606,9:70,397:38606,47:624,47:624,397:38606,397:38606,47:624,47:624,397:38606,9:80,47:576,47:624,23:192,9:80,47:576,47:624,23:192,47:576,47:624,15:112,47:624,47:576,47:624,15:112,47:624,47:624,47:624,47:672,13:112,47:624,47:624,47:672,13:112,1241:392472,47:672,47:672,1241:392472,1241:392472,47:672,47:672,1241:392472,13:126,11:120,1241:392472,1241:392472,13:126,11:120,1241:392472,1241:392472,397:38606,13:140,1241:392472,1241:392472,397:38606,13:140,1241:392472,1241:392472,397:38606,47:624,13:154,397:38606,397:38606,47:624,13:154,397:38606,397:38606,519:68640,47:672,13:168,397:38606,519:68640,47:672,13:168,397:38606,519:68640,15:176,397:38606,397:38606,519:68640,15:176,397:38606,519:68640,519:68640,33:408,15:192,519:68640,519:68640,33:408,15:192,397:38606,23:264,23:264,397:38606,397:38606,23:264,23:264,397:38606,23:264,519:68640,33:408,15:208,23:264,519:68640,33:408,15:208,397:38606,23:288,33:442,33:442,397:38606,23:288,33:442,33:442,15:224,519:68640,23:288,33:442,15:224,519:68640,23:288,33:442,33:442,217:11990,217:11990,217:11990,33:442,217:11990,217:11990,217:11990,15:224,33:442,289:20880,289:20880,15:224
9,37:304,31:192,11:12,31:192,13:28,397:38606,25:156,15:48,25:156,9:10,31:192,25:156,11:24,23:120,15:48,397:38606,47:528,397:38606,25:156,9:20,23:120,47:528,11:36,47:528,15:64,1241:392472,15:64,1241:392472,47:528,9:30,23:144,47:576,11:48,23:120,47:528,23:120,47:528,23:144,47:576,9:40,15:80,47:528,1241:386262,23:144,1241:386262,23:144,47:576,15:80,47:528,9:50,15:96,1241:392472,1241:386262,47:576,1241:386262,23:168,11:60,15:96,1241:392472,9:60,397:38606,1241:392472,23:168,1241:392472,397:38606,23:192,11:72,397:38606,47:624,9:70,397:38606,397:38606,23:192,47:624,47:576,47:624,11:84,397:38606,23:192,9:80,47:624,47:576,47:624,47:624,15:112,23:192,11:96,47:576,47:624,47:624,47:624,15:112,47:672,47:624,47:576,47:624,11:108,47:624,10:99,47:672,47:624,13:112,1241:392472,1241:392472,47:624,47:672,11:120,47:672,13:112,1241:392472,1241:392472,13:126,397:38606,11:120,47:624,1241:392472,47:624,1241:392472,13:126,397:38606,397:38606,13:140,47:624,1241:392472,47:672,1241:392472,47:672,397:38606,13:140,47:624,519:68640,13:154,397:38606,397:38606,397:38606,397:38606,397:38606,519:68640,13:154,47:672,15:176,13:168,519:68640,397:38606,519:68640,519:68640,47:672,15:176,13:168,397:38606,15:192,519:68640,519:68640,519:68640,23:264,33:408,397:38606,15:192,397:38606,397:38606,23:264,23:264,33:408,23:264,33:408,397:38606,397:38606,23:264,397:38606,519:68640,23:264,33:408,33:442,15:208,33:442,397:38606,519:68640,23:288,519:68640,33:442,15:208,33:442,33:442,15:224,23:288,519:68640,23:288,23:288,23:288,33:442,15:224,33:442,15:224,217:11990,23:288,217:11990,289:20880,217:11990,33:442,15:224
10,23:96,37:304,397:38606,31:192,13:28,11:12,397:38606,31:192,25:156,13:28,10:11,397:38606,31:192,25:156,25:156,15:48,11:24,397:38606,23:120,25:156,15:48,10:22,397:38606,23:120,47:528,47:528,15:64,11:36,1241:392472,47:528,47:528,15:64,10:33,1241:392472,23:144,23:120,47:576,47:528,11:48,23:144,23:120,47:576,47:528,10:44,1241:386262,15:80,23:144,47:528,47:576,1241:386262,15:80,23:144,47:528,47:576,10:55,1241:386262,15:96,23:168,1241:392472,11:60,1241:386262,15:96,23:168,1241:392472,1241:392472,10:66,397:38606,397:38606,23:192,1241:392472,11:72,397:38606,397:38606,23:192,47:624,47:624,10:77,47:576,397:38606,47:624,47:624,11:84,47:576,397:38606,47:624,23:192,47:624,10:88,15:112,47:624,23:192,47:624,11:96,15:112,47:576,47:672,47:624,47:624,10:99,47:576,47:672,47:624,47:624,11:108,13:112,47:624,1241:392472,47:672,1241:392472,13:112,47:624,1241:392472,47:672,1241:392472,11:120,13:126,47:624,397:38606,1241:392472,11:120,13:126,47:624,397:38606,1241:392472,397:38606,1241:392472,13:140,47:672,47:624,397:38606,1241:392472,13:140,47:672,47:624,397:38606,519:68640,397:38606,13:154,397:38606,397:38606,519:68640,397:38606,13:154,397:38606,47:672,519:68640,15:176,519:68640,13:168,47:672,519:68640,15:176,519:68640,13:168,519:68640,397:38606,23:264,15:192,33:408,519:68640,397:38606,23:264,15:192,33:408,397:38606,23:264,397:38606,33:408,23:264,397:38606,23:264,397:38606,33:408,23:264,33:442,397:38606,15:208,519:68640,33:442,33:442,397:38606,15:208,519:68640,33:442,23:288,33:442,519:68640,15:224,23:288,23:288,33:442,519:68640,15:224,23:288,33:442,23:288,15:224,217:11990,217:11990,33:442
